76,St Jean Airport,St. Jean,Canada,YJN,CYJN,-5,America/Toronto
77,Stephenville Airport,Stephenville,Canada,YJT,CYJT,-3.5,America/St_Johns
78,Kamloops Airport,Kamloops,Canada,YKA,CYKA,-8,America/Vancouver
79,Waterloo Airport,Waterloo,Canada,YKF,CYKF,-5,America/Toronto
80,Schefferville Airport,Schefferville,Canada,YKL,CYKL,-5,America/Toronto
81,Kindersley Airport,Kindersley,Canada,YKY,CYKY,-6,America/Regina
82,Buttonville Municipal Airport,Toronto,Canada,YKZ,CYKZ,-5,America/Toronto
83,Chapleau Airport,Chapleau,Canada,YLD,CYLD,-5,America/Toronto
84,Meadow Lake Airport,Meadow Lake,Canada,YLJ,CYLJ,-6,America/Regina
85,Lloydminster Airport,Lloydminster,Canada,YLL,CYLL,-7,America/Edmonton
86,Alert Airport,Alert,Canada,YLT,CYLT,-5,America/Toronto
87,Kelowna International Airport,Kelowna,Canada,YLW,CYLW,-8,America/Vancouver
88,Mayo Airport,Mayo,Canada,YMA,CYMA,-8,America/Vancouver
89,Moose Jaw Air Vice Marshal C. M. McEwen Airport,Moose Jaw,Canada,YMJ,CYMJ,-6,America/Regina
90,Fort McMurray Airport,Fort Mcmurray,Canada,YMM,CYMM,-7,America/Edmonton
91,Moosonee Airport,Moosonee,Canada,YMO,CYMO,-5,America/Toronto
92,Maniwaki Airport,Maniwaki,Canada,YMW,CYMW,-5,America/Toronto
93,Montreal International (Mirabel) Airport,Montreal,Canada,YMX,CYMX,-5,America/Toronto
94,Natashquan Airport,Natashquan,Canada,YNA,CYNA,-5,America/Toronto
95,Ottawa / Gatineau Airport,Gatineau,Canada,YND,CYND,-5,America/Toronto
96,Matagami Airport,Matagami,Canada,YNM,CYNM,-5,America/Toronto
97,Old Crow Airport,Old Crow,Canada,YOC,CYOC,-8,America/Vancouver
98,CFB Cold Lake,Cold Lake,Canada,YOD,CYOD,-7,America/Edmonton
99,High Level Airport,High Level,Canada,YOJ,CYOJ,-7,America/Edmonton
100,Ottawa Macdonald-Cartier International Airport,Ottawa,Canada,YOW,CYOW,-5,America/Toronto
101,Prince Albert Glass Field,Prince Albert,Canada,YPA,CYPA,-6,America/Regina
102,Peace River Airport,Peace River,Canada,YPE,CYPE,-7,America/Edmonton
103,Southport Airport,Portage-la-prairie,Canada,YPG,CYPG,-6,America/Winnipeg
105,Pickle Lake Airport,Pickle Lake,Canada,YPL,CYPL,-5,America/Coral_Harbour
106,Port Menier Airport,Port Menier,Canada,YPN,CYPN,-5,America/Toronto
107,Peterborough Airport,Peterborough,Canada,YPQ,CYPQ,-5,America/Toronto
108,Prince Rupert Airport,Prince Pupert,Canada,YPR,CYPR,-8,America/Vancouver
109,Fort Chipewyan Airport,Fort Chipewyan,Canada,YPY,CYPY,-7,America/Edmonton
110,Muskoka Airport,Muskoka,Canada,YQA,CYQA,-5,America/Toronto
111,Quebec Jean Lesage International Airport,Quebec,Canada,YQB,CYQB,-5,America/Toronto
112,Red Deer Regional Airport,Red Deer Industrial,Canada,YQF,CYQF,-7,America/Edmonton
113,Windsor Airport,Windsor,Canada,YQG,CYQG,-5,America/Toronto
114,Watson Lake Airport,Watson Lake,Canada,YQH,CYQH,-8,America/Vancouver
115,Kenora Airport,Kenora,Canada,YQK,CYQK,-6,America/Winnipeg
116,Lethbridge County Airport,Lethbridge,Canada,YQL,CYQL,-7,America/Edmonton
117,Greater Moncton International Airport,Moncton,Canada,YQM,CYQM,-4,America/Halifax
119,Comox Airport,Comox,Canada,YQQ,CYQQ,-8,America/Vancouver
120,Regina International Airport,Regina,Canada,YQR,CYQR,-6,America/Regina
121,Thunder Bay Airport,Thunder Bay,Canada,YQT,CYQT,-5,America/Toronto
122,Grande Prairie Airport,Grande Prairie,Canada,YQU,CYQU,-7,America/Edmonton
123,Yorkton Municipal Airport,Yorkton,Canada,YQV,CYQV,-6,America/Regina
124,North Battleford Airport,North Battleford,Canada,YQW,CYQW,-6,America/Regina
125,Gander International Airport,Gander,Canada,YQX,CYQX,-3.5,America/St_Johns
126,Sydney / J.A. Douglas McCurdy Airport,Sydney,Canada,YQY,CYQY,-4,America/Halifax
127,Quesnel Airport,Quesnel,Canada,YQZ,CYQZ,-8,America/Vancouver
128,Resolute Bay Airport,Resolute,Canada,YRB,CYRB,-6,America/Winnipeg
130,Roberval Airport,Roberval,Canada,YRJ,CYRJ,-5,America/Toronto
131,Rocky Mountain House Airport,Rocky Mountain House,Canada,YRM,CYRM,-7,America/Edmonton
132,Rankin Inlet Airport,Rankin Inlet,Canada,YRT,CYRT,-6,America/Winnipeg
133,Sudbury Airport,Sudbury,Canada,YSB,CYSB,-5,America/Toronto
134,Sherbrooke Airport,Sherbrooke,Canada,YSC,CYSC,-5,America/Toronto
135,Saint John Airport,St. John,Canada,YSJ,CYSJ,-4,America/Halifax
136,Fort Smith Airport,Fort Smith,Canada,YSM,CYSM,-7,America/Edmonton
137,Nanisivik Airport,Nanisivik,Canada,YSR,CYSR,-5,America/Toronto
138,Summerside Airport,Summerside,Canada,YSU,CYSU,-4,America/Halifax
139,Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport,Sachs Harbour,Canada,YSY,CYSY,-7,America/Edmonton
140,Cape Dorset Airport,Cape Dorset,Canada,YTE,CYTE,-5,America/Toronto
141,Thompson Airport,Thompson,Canada,YTH,CYTH,-6,America/Winnipeg
142,CFB Trenton,Trenton,Canada,YTR,CYTR,-5,America/Toronto
143,Timmins/Victor M. Power,Timmins,Canada,YTS,CYTS,-5,America/Toronto
144,Billy Bishop Toronto City Centre Airport,Toronto,Canada,YTZ,CYTZ,-5,America/Toronto
145,Tuktoyaktuk Airport,Tuktoyaktuk,Canada,YUB,CYUB,-7,America/Edmonton
146,Montreal / Pierre Elliott Trudeau International Airport,Montreal,Canada,YUL,CYUL,-5,America/Toronto
147,Repulse Bay Airport,Repulse Bay,Canada,YUT,CYUT,-6,America/Winnipeg
148,Hall Beach Airport,Hall Beach,Canada,YUX,CYUX,-5,America/Toronto
149,Rouyn Noranda Airport,Rouyn,Canada,YUY,CYUY,-5,America/Toronto
150,La Ronge Airport,La Ronge,Canada,YVC,CYVC,-6,America/Regina
151,Vermilion Airport,Vermillion,Canada,YVG,CYVG,-7,America/Edmonton
152,Qikiqtarjuaq Airport,Broughton Island,Canada,YVM,CYVM,-5,America/Toronto
153,Val-d'Or Airport,Val D'or,Canada,YVO,CYVO,-5,America/Toronto
154,Kuujjuaq Airport,Quujjuaq,Canada,YVP,CYVP,-5,America/Toronto
155,Norman Wells Airport,Norman Wells,Canada,YVQ,CYVQ,-7,America/Edmonton
156,Vancouver International Airport,Vancouver,Canada,YVR,CYVR,-8,America/Vancouver
157,Buffalo Narrows Airport,Buffalo Narrows,Canada,YVT,CYVT,-6,America/Regina
158,Wiarton Airport,Wiarton,Canada,YVV,CYVV,-5,America/Toronto
159,Petawawa Airport,Petawawa,Canada,YWA,CYWA,-5,America/Toronto
160,Winnipeg / James Armstrong Richardson International Airport,Winnipeg,Canada,YWG,CYWG,-6,America/Winnipeg
161,Wabush Airport,Wabush,Canada,YWK,CYWK,-4,America/Halifax
162,Williams Lake Airport,Williams Lake,Canada,YWL,CYWL,-8,America/Vancouver
163,Wrigley Airport,Wrigley,Canada,YWY,CYWY,-7,America/Edmonton
164,Cranbrook/Canadian Rockies International Airport,Cranbrook,Canada,YXC,CYXC,-7,America/Edmonton
165,Edmonton City Centre (Blatchford Field) Airport,Edmonton,Canada,YXD,CYXD,-7,America/Edmonton
166,Saskatoon John G. Diefenbaker International Airport,Saskatoon,Canada,YXE,CYXE,-6,America/Regina
167,Medicine Hat Airport,Medicine Hat,Canada,YXH,CYXH,-7,America/Edmonton
168,Fort St John Airport,Fort Saint John,Canada,YXJ,CYXJ,-7,America/Dawson_Creek
169,Sioux Lookout Airport,Sioux Lookout,Canada,YXL,CYXL,-6,America/Winnipeg
170,Pangnirtung Airport,Pangnirtung,Canada,YXP,CYXP,-5,America/Toronto
171,Earlton (Timiskaming Regional) Airport,Earlton,Canada,YXR,CYXR,-5,America/Toronto
172,Prince George Airport,Prince George,Canada,YXS,CYXS,-8,America/Vancouver
173,Northwest Regional Airport Terrace-Kitimat,Terrace,Canada,YXT,CYXT,-8,America/Vancouver
